id	X-Coordinate	Y-Coordinate	Z	M
0	132.91700745	-12.69999981	0	0
1	130.97200012	-12.83329964	0	0
2	131.30499268	-12.56330013	0	0
3	131.33999634	-12.57670021	0	0
4	131.12699890	-12.84669971	0	0
5	131.10000610	-13.05000019	0	0
6	128.10000610	-15.62170029	0	0
7	128.69299316	-15.79170036	0	0
8	128.89999390	-16.03000069	0	0
9	128.73699951	-16.12330055	0	0
10	145.67160034	-16.89329910	0	0
11	136.25250244	-22.65150070	0	0
12	145.47200012	-17.04330063	0	0
13	145.11199951	-17.11000061	0	0
14	145.05299377	-17.14999962	0	0
15	145.54499817	-17.16670036	0	0
16	145.06700134	-17.20669937	0	0
17	145.28999329	-17.25499916	0	0
18	145.53799438	-17.54500008	0	0
19	145.60200500	-17.83329964	0	0
20	124.30000305	-18.04999924	0	0
21	127.80000305	-18.39999962	0	0
22	124.30000305	-18.19000053	0	0
23	146.61700439	-18.73500061	0	0
24	146.14300537	-18.95499992	0	0
25	144.12800598	-19.02499962	0	0
26	146.61799622	-19.17830086	0	0
27	146.77799988	-19.30500031	0	0
28	146.73699951	-19.31830025	0	0
29	146.74699402	-19.31999969	0	0
30	146.72999573	-19.44330025	0	0
31	150.12159729	-24.98329926	0	0
32	147.11199951	-19.51829910	0	0
33	147.08799744	-19.56669998	0	0
34	139.38000488	-19.68659973	0	0
35	147.23699951	-19.86170006	0	0
36	148.38200378	-20.33329964	0	0
37	147.39999390	-20.39999962	0	0
38	147.93659973	-20.74500084	0	0
39	139.72329712	-20.12999916	0	0
40	147.28799438	-20.47330093	0	0
41	139.57159424	-20.58329964	0	0
42	147.14199829	-20.64830017	0	0
43	139.45829773	-20.77330017	0	0
44	139.78199768	-20.77669907	0	0
45	140.04330444	-20.84830093	0	0
46	139.58999634	-20.95700073	0	0
47	117.11000061	-20.97999954	0	0
48	148.38499451	-21.13829994	0	0
49	148.93499756	-21.13999939	0	0
50	148.83000183	-21.17670059	0	0
51	148.89999390	-21.20499992	0	0
52	149.10699463	-21.46999931	0	0
53	148.55000305	-22.95000076	0	0
54	148.17500305	-22.25169945	0	0
55	149.42199707	-22.95829964	0	0
56	149.03300476	-23.08329964	0	0
57	119.86699677	-23.25000000	0	0
58	130.73300171	-23.71669960	0	0
59	150.49800110	-23.36170006	0	0
60	148.83799744	-23.37170029	0	0
